Model,Epoch,Train Loss,Train Acc,Val Loss,Validation Acc,Epoch Time,Cumul Time
resnet152.a1_in1k,1,4.7572843116006736,0.12870857253123644,4.005683342615764,0.30932346011443956,89.01894426345825,89.01894426345825
resnet152.a1_in1k,2,3.4447358478734524,0.5297409426407449,3.1072643796602883,0.6132615281050151,88.85211682319641,177.87106108665466
resnet152.a1_in1k,3,2.552659143636256,0.7595156543972212,2.4459135035673776,0.7246718276674521,88.9517092704773,266.82277035713196
resnet152.a1_in1k,4,1.9371383793560075,0.8335665010371943,1.9982146819432576,0.7670817906428812,88.83753895759583,355.6603093147278
resnet152.a1_in1k,5,1.5100657763304535,0.8692170389309662,1.6631929576396942,0.7869404240996297,88.85295009613037,444.51325941085815
resnet152.a1_in1k (Best),5,1.5100657763304535,0.8692170389309662,1.6631929576396942,0.7869404240996297,88.85295009613037,444.51325941085815
swin_base_patch4_window7_224.ms_in22k_ft_in1k,1,3.406493036835282,0.43099039992281346,1.8436779628197353,0.6634129922584988,167.40393781661987,167.40393781661987
swin_base_patch4_window7_224.ms_in22k_ft_in1k,2,1.6662159304559967,0.6826667953109171,1.3882408489783604,0.707842477280377,167.27732825279236,334.68126606941223
swin_base_patch4_window7_224.ms_in22k_ft_in1k,3,1.32299299593325,0.7276279608278258,1.2483018686374028,0.723998653651969,167.37541389465332,502.05667996406555
swin_base_patch4_window7_224.ms_in22k_ft_in1k,4,1.1499949163860745,0.7564281923874765,1.1703189959128697,0.7357791989229215,167.22643303871155,669.2831130027771
swin_base_patch4_window7_224.ms_in22k_ft_in1k,5,1.0298520819640453,0.7773168025471562,1.131354679663976,0.7374621339616291,167.20911312103271,836.4922261238098
swin_base_patch4_window7_224.ms_in22k_ft_in1k (Best),5,1.0298520819640453,0.7773168025471562,1.131354679663976,0.7374621339616291,167.20911312103271,836.4922261238098
mixer_b16_224.goog_in21k_ft_in1k,1,5.35778115708151,0.037146027304742146,5.18975704908371,0.04745876809155167,96.76264357566833,96.76264357566833
mixer_b16_224.goog_in21k_ft_in1k,2,5.181809578412845,0.04949587534372136,5.168389240900676,0.0562100302928307,96.82104659080505,193.5836901664734
mixer_b16_224.goog_in21k_ft_in1k,3,5.107946984561873,0.0575522215253992,5.145678679148356,0.061258835408953216,96.71547341346741,290.2991635799408
mixer_b16_224.goog_in21k_ft_in1k,4,5.0573464617317105,0.06281055526074582,5.12391197681427,0.06294177044766072,96.7544276714325,387.0535912513733
mixer_b16_224.goog_in21k_ft_in1k,5,5.013559694643374,0.0668146075546336,5.120150725046794,0.06462470548636823,96.67192912101746,483.72552037239075
mixer_b16_224.goog_in21k_ft_in1k (Best),5,5.013559694643374,0.0668146075546336,5.120150725046794,0.06462470548636823,96.67192912101746,483.72552037239075
tf_efficientnetv2_m.in21k_ft_in1k,1,2.1448567075493896,0.7169183269815235,0.6245418339967728,0.9134971390104342,207.41694331169128,207.41694331169128
tf_efficientnetv2_m.in21k_ft_in1k,2,0.3131507929460502,0.955521250422114,0.40874937425057095,0.9239313362504208,207.69553184509277,415.11247515678406
tf_efficientnetv2_m.in21k_ft_in1k,3,0.1623619943857193,0.9766028269574026,0.34090209503968555,0.9286435543588017,207.67346668243408,622.7859418392181
tf_efficientnetv2_m.in21k_ft_in1k,4,0.10010973713648172,0.988807950214675,0.3144540873666604,0.9299899023897678,207.63531351089478,830.4212553501129
tf_efficientnetv2_m.in21k_ft_in1k,5,0.06881100371663953,0.9942592503256308,0.2976823002099991,0.9299899023897678,207.67165303230286,1038.0929083824158
tf_efficientnetv2_m.in21k_ft_in1k (Best),4,0.10010973713648172,0.988807950214675,0.3144540873666604,0.9299899023897678,207.63531351089478,830.4212553501129
convnext_base.fb_in22k_ft_in1k,1,1.9468775222330919,0.6656375126634184,0.8846164246400198,0.8044429485021878,132.0391070842743,132.0391070842743
convnext_base.fb_in22k_ft_in1k,2,0.6740284790227442,0.8461575570456847,0.7992327238122622,0.8182430158195894,131.82282638549805,263.86193346977234
convnext_base.fb_in22k_ft_in1k,3,0.46894959461541824,0.8962323315162333,0.767204113304615,0.8192527768428138,131.8510663509369,395.71299982070923
convnext_base.fb_in22k_ft_in1k,4,0.3378047895284347,0.9304838631868397,0.7453821996847788,0.8209357118815214,131.73889470100403,527.4518945217133
convnext_base.fb_in22k_ft_in1k,5,0.24876009203769542,0.9558106999855275,0.7441507975260416,0.8229552339279704,131.87614846229553,659.3280429840088
convnext_base.fb_in22k_ft_in1k (Best),5,0.24876009203769542,0.9558106999855275,0.7441507975260416,0.8229552339279704,131.87614846229553,659.3280429840088
regnety_040.pycls_in1k,1,2.9648508966704945,0.5327319214626851,1.3193707937995593,0.7997307303938068,51.07867693901062,51.07867693901062
regnety_040.pycls_in1k,2,0.8844656723516958,0.8629938733175744,0.8194947590430578,0.8391114102995625,50.43987250328064,101.51854944229126
regnety_040.pycls_in1k,3,0.5567912772113894,0.9026002219113319,0.6835446630915006,0.8478626725008415,50.43835091590881,151.95690035820007
regnety_040.pycls_in1k,4,0.4179572256994836,0.9226687249746731,0.6137460370858511,0.8572871087176035,50.41762137413025,202.37452173233032
regnety_040.pycls_in1k,5,0.3306105953675729,0.9410970138453375,0.5861479938030243,0.8586334567485695,50.41049647331238,252.7850182056427
regnety_040.pycls_in1k (Best),5,0.3306105953675729,0.9410970138453375,0.5861479938030243,0.8586334567485695,50.41049647331238,252.7850182056427
